t_epoch,robot,topic
1786642147.169316,3,camera
1786642147.177540,3,scan
1786642147.220893,2,scan
1786642147.251572,2,camera
1786642147.270041,1,scan
1786642147.273059,1,camera
1786642147.275567,3,camera
1786642147.277466,3,scan
1786642147.321296,2,scan
1786642147.355086,2,camera
1786642147.369134,1,scan
1786642147.371783,1,camera
1786642147.374214,3,camera
1786642147.377867,3,scan
1786642147.421973,2,scan
1786642147.455912,2,camera
1786642147.469791,1,scan
1786642147.474508,3,camera
1786642147.477864,3,scan
1786642147.478763,1,camera
1786642147.521244,2,scan
1786642147.555664,2,camera
1786642147.569817,1,scan
1786642147.571477,1,camera
1786642147.574132,3,camera
1786642147.578496,3,scan
1786642147.621262,2,scan
1786642147.655968,2,camera
1786642147.669722,1,scan
1786642147.674188,3,camera
1786642147.678385,3,scan
1786642147.680001,1,camera
1786642147.721270,2,scan
1786642147.755772,2,camera
1786642147.769122,1,scan
1786642147.774534,3,camera
1786642147.778375,3,scan
1786642147.780286,1,camera
1786642147.821718,2,scan
1786642147.855969,2,camera
1786642147.868946,1,scan
1786642147.874393,3,camera
1786642147.878449,3,scan
1786642147.880718,1,camera
1786642147.921254,2,scan
1786642147.955863,2,camera
1786642147.970139,1,scan
1786642147.975237,3,camera
1786642147.976164,1,camera
1786642147.978779,3,scan
1786642148.023853,2,scan
1786642148.069899,1,scan
1786642148.073250,1,camera
1786642148.079575,3,scan
1786642148.081459,2,camera
1786642148.092877,3,camera
1786642148.121550,2,scan
1786642148.159899,2,camera
1786642148.165141,1,camera
1786642148.168630,1,scan
1786642148.175642,3,camera
1786642148.177367,3,scan
1786642148.221163,2,scan
1786642148.251199,2,camera
1786642148.266787,3,camera
1786642148.268287,1,scan
1786642148.271367,1,camera
1786642148.277345,3,scan
1786642148.320662,2,scan
1786642148.356608,2,camera
1786642148.361271,1,camera
1786642148.365626,3,camera
1786642148.368138,1,scan
1786642148.377289,3,scan
1786642148.420587,2,scan
1786642148.456356,2,camera
1786642148.461668,1,camera
1786642148.466724,3,camera
1786642148.468274,1,scan
1786642148.478419,3,scan
1786642148.521333,2,scan
1786642148.558371,2,camera
1786642148.568991,1,scan
1786642148.570272,1,camera
1786642148.578447,3,scan
1786642148.582956,3,camera
1786642148.621302,2,scan
1786642148.658872,2,camera
1786642148.669013,1,scan
1786642148.674182,1,camera
1786642148.674742,3,camera
1786642148.678025,3,scan
1786642148.721287,2,scan
1786642148.755884,2,camera
1786642148.768963,1,scan
1786642148.772573,1,camera
1786642148.778018,3,scan
1786642148.778805,3,camera
1786642148.821753,2,scan
1786642148.855670,2,camera
1786642148.868556,1,camera
1786642148.869100,1,scan
1786642148.877926,3,scan
1786642148.878656,3,camera
1786642148.921362,2,scan
1786642148.956334,2,camera
1786642148.969031,1,scan
1786642148.970104,1,camera
1786642148.974535,3,camera
1786642148.977509,3,scan
1786642149.022283,2,scan
1786642149.066611,2,camera
1786642149.069423,1,scan
1786642149.078722,3,scan
1786642149.089028,1,camera
1786642149.092924,3,camera
1786642149.121954,2,scan
1786642149.148513,2,camera
1786642149.168465,1,scan
1786642149.173792,3,camera
1786642149.177414,3,scan
1786642149.178998,1,camera
1786642149.220954,2,scan
1786642149.253191,2,camera
1786642149.269946,1,scan
1786642149.271600,1,camera
1786642149.277905,3,scan
1786642149.278758,3,camera
1786642149.321256,2,scan
1786642149.355949,2,camera
1786642149.369193,1,scan
1786642149.374053,1,camera
1786642149.376235,3,camera
1786642149.377864,3,scan
1786642149.421223,2,scan
1786642149.456212,2,camera
1786642149.469479,1,scan
1786642149.470579,1,camera
1786642149.478441,3,scan
1786642149.481447,3,camera
1786642149.521365,2,scan
1786642149.557976,2,camera
1786642149.568067,1,camera
1786642149.568529,1,scan
1786642149.571203,3,camera
1786642149.577904,3,scan
1786642149.621348,2,scan
1786642149.653127,2,camera
1786642149.668846,1,scan
1786642149.669219,1,camera
1786642149.677573,3,scan
1786642149.679612,3,camera
1786642149.721343,2,scan
1786642149.756355,2,camera
1786642149.768790,1,scan
1786642149.777355,1,camera
1786642149.777848,3,scan
1786642149.778589,3,camera
1786642149.821294,2,scan
1786642149.859106,2,camera
1786642149.869167,1,scan
1786642149.869993,1,camera
1786642149.872365,3,camera
1786642149.877612,3,scan
1786642149.921527,2,scan
1786642149.955418,2,camera
1786642149.963930,1,camera
1786642149.968152,1,scan
1786642149.975580,3,camera
1786642149.977362,3,scan
1786642150.024246,2,scan
1786642150.069806,1,scan
1786642150.071024,2,camera
1786642150.079326,3,scan
1786642150.083843,3,camera
1786642150.084474,1,camera
1786642150.121043,2,scan
1786642150.151744,2,camera
1786642150.162099,1,camera
1786642150.168380,1,scan
1786642150.175660,3,camera
1786642150.177255,3,scan
1786642150.220965,2,scan
1786642150.259493,2,camera
1786642150.268548,3,camera
1786642150.269261,1,scan
1786642150.276584,1,camera
1786642150.278017,3,scan
1786642150.320972,2,scan
1786642150.354450,2,camera
1786642150.368711,1,scan
1786642150.378689,3,scan
1786642150.379338,3,camera
1786642150.379830,1,camera
1786642150.421415,2,scan
1786642150.455196,2,camera
1786642150.469257,1,scan
1786642150.471099,1,camera
1786642150.476080,3,camera
1786642150.477855,3,scan
1786642150.520847,2,scan
1786642150.547432,2,camera
1786642150.566582,1,camera
1786642150.568847,1,scan
1786642150.578165,3,scan
1786642150.582650,3,camera
1786642150.621996,2,scan
1786642150.647740,2,camera
1786642150.665910,1,camera
1786642150.668590,1,scan
1786642150.677429,3,scan
1786642150.677607,3,camera
1786642150.721271,2,scan
1786642150.767223,2,camera
1786642150.768646,1,scan
1786642150.778425,3,scan
1786642150.779867,1,camera
1786642150.782848,3,camera
1786642150.821366,2,scan
1786642150.855737,2,camera
1786642150.865252,1,camera
1786642150.867065,3,camera
1786642150.868172,1,scan
1786642150.877290,3,scan
1786642150.921343,2,scan
1786642150.955176,2,camera
1786642150.969489,1,scan
1786642150.970661,1,camera
1786642150.973683,3,camera
1786642150.977675,3,scan
1786642151.022054,2,scan
1786642151.069514,1,scan
1786642151.069780,2,camera
1786642151.078190,3,scan
1786642151.079689,1,camera
1786642151.094762,3,camera
1786642151.121029,2,scan
1786642151.150475,2,camera
1786642151.161444,1,camera
1786642151.165959,3,camera
1786642151.168542,1,scan
1786642151.177983,3,scan
1786642151.221433,2,scan
1786642151.262222,2,camera
1786642151.262928,1,camera
1786642151.267149,3,camera
1786642151.268331,1,scan
1786642151.277887,3,scan
1786642151.321047,2,scan
1786642151.350261,2,camera
1786642151.369314,1,scan
1786642151.370561,1,camera
1786642151.378300,3,scan
1786642151.383752,3,camera
1786642151.421375,2,scan
1786642151.455526,2,camera
1786642151.469371,1,scan
1786642151.472061,1,camera
1786642151.477906,3,scan
1786642151.485243,3,camera
1786642151.521784,2,scan
1786642151.555470,2,camera
1786642151.569200,1,scan
1786642151.570295,1,camera
1786642151.577376,3,scan
1786642151.577605,3,camera
1786642151.621546,2,scan
1786642151.663012,2,camera
1786642151.667439,1,camera
1786642151.669343,1,scan
1786642151.672617,3,camera
1786642151.677329,3,scan
1786642151.721374,2,scan
1786642151.747599,2,camera
1786642151.761976,1,camera
1786642151.766782,3,camera
1786642151.768047,1,scan
1786642151.777839,3,scan
1786642151.821373,2,scan
1786642151.864942,2,camera
1786642151.869472,1,scan
1786642151.871453,1,camera
1786642151.877350,3,scan
1786642151.878584,3,camera
1786642151.921349,2,scan
1786642151.956014,2,camera
1786642151.969621,1,scan
1786642151.970339,1,camera
1786642151.977168,3,camera
1786642151.978094,3,scan
1786642152.021975,2,scan
1786642152.071586,1,scan
1786642152.071920,2,camera
1786642152.075417,1,camera
1786642152.078492,3,scan
1786642152.098969,3,camera
1786642152.122015,2,scan
1786642152.154271,2,camera
1786642152.169388,1,scan
1786642152.178017,1,camera
1786642152.178953,3,scan
1786642152.179967,3,camera
1786642152.221952,2,scan
1786642152.258092,2,camera
1786642152.269545,1,scan
1786642152.278442,3,scan
1786642152.279920,1,camera
1786642152.281139,3,camera
1786642152.321478,2,scan
1786642152.367990,2,camera
1786642152.369230,1,scan
1786642152.371317,1,camera
1786642152.374520,3,camera
1786642152.377990,3,scan
1786642152.421319,2,scan
1786642152.465390,2,camera
1786642152.469312,1,scan
1786642152.478477,3,scan
1786642152.480282,1,camera
1786642152.483736,3,camera
1786642152.521384,2,scan
1786642152.555945,2,camera
1786642152.569149,1,scan
1786642152.570309,1,camera
1786642152.575713,3,camera
1786642152.577850,3,scan
1786642152.621314,2,scan
1786642152.655458,2,camera
1786642152.669444,1,scan
1786642152.670475,1,camera
1786642152.675049,3,camera
1786642152.677899,3,scan
