t_epoch,robot,topic
1786641841.295266,1,scan
1786641841.296025,2,scan
1786641841.304797,2,camera
1786641841.319739,3,scan
1786641841.330688,3,camera
1786641841.395303,1,scan
1786641841.396118,2,scan
1786641841.408219,2,camera
1786641841.419672,3,scan
1786641841.435301,3,camera
1786641841.488367,1,camera
1786641841.494817,1,scan
1786641841.495226,2,scan
1786641841.495736,1,camera
1786641841.503181,2,camera
1786641841.519662,3,scan
1786641841.530762,3,camera
1786641841.590156,1,camera
1786641841.595039,1,scan
1786641841.595586,2,scan
1786641841.609496,2,camera
1786641841.619636,3,scan
1786641841.630406,3,camera
1786641841.693886,1,camera
1786641841.695068,1,scan
1786641841.695229,2,scan
1786641841.706855,2,camera
1786641841.719772,3,scan
1786641841.730839,3,camera
1786641841.790449,1,camera
1786641841.795083,1,scan
1786641841.796426,2,scan
1786641841.811157,2,camera
1786641841.819804,3,scan
1786641841.831139,3,camera
1786641841.890164,1,camera
1786641841.895180,1,scan
1786641841.896189,2,scan
1786641841.914088,2,camera
1786641841.919559,3,scan
1786641841.927018,3,camera
1786641841.991200,1,camera
1786641841.995042,1,scan
1786641841.995621,2,scan
1786641842.014879,2,camera
1786641842.020429,3,scan
1786641842.050880,3,camera
1786641842.095556,2,scan
1786641842.096927,1,scan
1786641842.101643,1,camera
1786641842.110195,2,camera
1786641842.119843,3,scan
1786641842.133013,3,camera
1786641842.182856,1,camera
1786641842.195228,1,scan
1786641842.196284,2,scan
1786641842.207604,2,camera
1786641842.219827,3,scan
1786641842.230635,3,camera
1786641842.289187,1,camera
1786641842.295266,2,scan
1786641842.295932,1,scan
1786641842.308568,2,camera
1786641842.319732,3,scan
1786641842.330781,3,camera
1786641842.395308,1,scan
1786641842.395999,2,scan
1786641842.398752,1,camera
1786641842.409843,2,camera
1786641842.419750,3,scan
1786641842.431458,3,camera
1786641842.490114,1,camera
1786641842.495609,2,scan
1786641842.496608,1,scan
1786641842.508955,2,camera
1786641842.519684,3,scan
1786641842.531000,3,camera
1786641842.595410,1,scan
1786641842.596353,1,camera
1786641842.596557,2,scan
1786641842.608881,2,camera
1786641842.619708,3,scan
1786641842.630685,3,camera
1786641842.690151,1,camera
1786641842.695150,2,scan
1786641842.695783,1,scan
1786641842.708311,2,camera
1786641842.719795,3,scan
1786641842.730974,3,camera
1786641842.789616,1,camera
1786641842.795156,2,scan
1786641842.795757,1,scan
1786641842.808884,2,camera
1786641842.820141,3,scan
1786641842.830517,3,camera
1786641842.889737,1,camera
1786641842.895195,1,scan
1786641842.895890,2,scan
1786641842.908755,2,camera
1786641842.920174,3,scan
1786641842.929789,3,camera
1786641842.989860,1,camera
1786641842.995212,1,scan
1786641842.995903,2,scan
1786641843.009333,2,camera
1786641843.020034,3,scan
1786641843.095506,1,scan
1786641843.096465,2,scan
1786641843.104295,1,camera
1786641843.111747,2,camera
1786641843.119833,3,scan
1786641843.134326,3,camera
1786641843.141383,3,camera
1786641843.183915,1,camera
1786641843.195189,1,scan
1786641843.195918,2,scan
1786641843.207225,2,camera
1786641843.219708,3,scan
1786641843.227390,3,camera
1786641843.290449,1,camera
1786641843.295303,1,scan
1786641843.295939,2,scan
1786641843.308936,2,camera
1786641843.319801,3,scan
1786641843.336860,3,camera
1786641843.390176,1,camera
1786641843.395402,1,scan
1786641843.396170,2,scan
1786641843.409048,2,camera
1786641843.419750,3,scan
1786641843.430764,3,camera
1786641843.490163,1,camera
1786641843.495245,2,scan
1786641843.495886,1,scan
1786641843.508842,2,camera
1786641843.519775,3,scan
1786641843.532915,3,camera
1786641843.590158,1,camera
1786641843.595002,1,scan
1786641843.595663,2,scan
1786641843.609874,2,camera
1786641843.619727,3,scan
1786641843.636457,3,camera
1786641843.695325,1,scan
1786641843.695982,2,scan
1786641843.716732,2,camera
1786641843.719631,3,scan
1786641843.730505,3,camera
1786641843.789319,1,camera
1786641843.795098,1,scan
1786641843.796052,2,scan
1786641843.797946,1,camera
1786641843.806527,2,camera
1786641843.819706,3,scan
1786641843.830821,3,camera
1786641843.890217,1,camera
1786641843.895182,2,scan
1786641843.895798,1,scan
1786641843.909511,2,camera
1786641843.920283,3,scan
1786641843.930538,3,camera
1786641843.994393,1,camera
1786641843.995440,1,scan
1786641843.995593,2,scan
1786641844.010946,2,camera
1786641844.020753,3,scan
1786641844.096273,1,scan
1786641844.096520,2,scan
1786641844.100791,1,camera
1786641844.114420,2,camera
1786641844.120093,3,scan
1786641844.181466,1,camera
1786641844.194493,1,scan
1786641844.194868,2,scan
1786641844.199531,2,camera
1786641844.219186,3,scan
1786641844.280150,1,camera
1786641844.294472,1,scan
1786641844.294836,2,scan
1786641844.299138,2,camera
1786641844.319259,3,scan
1786641844.388968,1,camera
1786641844.395353,1,scan
1786641844.396173,2,scan
1786641844.411038,2,camera
1786641844.419768,3,scan
1786641844.490884,1,camera
1786641844.494644,1,scan
1786641844.495044,2,scan
1786641844.512302,2,camera
1786641844.519996,3,scan
1786641844.590233,1,camera
1786641844.594746,1,scan
1786641844.595109,2,scan
1786641844.610846,2,camera
1786641844.619623,3,scan
1786641844.690379,1,camera
1786641844.694908,1,scan
1786641844.695404,2,scan
1786641844.704670,2,camera
1786641844.719717,3,scan
1786641844.789781,1,camera
1786641844.795036,1,scan
1786641844.795625,2,scan
1786641844.809576,2,camera
1786641844.820113,3,scan
1786641844.834020,3,camera
1786641844.844675,3,camera
1786641844.847211,3,camera
1786641844.849421,3,camera
1786641844.851604,3,camera
1786641844.853862,3,camera
1786641844.856027,3,camera
1786641844.858159,3,camera
1786641844.860287,3,camera
1786641844.886783,1,camera
