t_epoch,robot,topic
1786621543.455644,1,camera
1786621543.456882,3,scan
1786621543.459623,1,scan
1786621543.507534,3,camera
1786621543.544206,2,scan
1786621543.548805,2,camera
1786621543.557477,3,scan
1786621543.558924,1,camera
1786621543.559644,1,scan
1786621543.607160,3,camera
1786621543.644085,2,scan
1786621543.647875,2,camera
1786621543.658078,3,scan
1786621543.660143,1,scan
1786621543.661046,1,camera
1786621543.712336,3,camera
1786621543.744311,2,scan
1786621543.748369,2,camera
1786621543.757853,3,scan
1786621543.758779,1,camera
1786621543.760014,1,scan
1786621543.810661,3,camera
1786621543.844083,2,scan
1786621543.848791,2,camera
1786621543.856538,1,camera
1786621543.857380,3,scan
1786621543.859492,1,scan
1786621543.907278,3,camera
1786621543.943978,2,scan
1786621543.947993,2,camera
1786621543.957610,3,scan
1786621543.958947,1,camera
1786621543.959791,1,scan
1786621544.007761,3,camera
1786621544.044846,2,scan
1786621544.058565,3,scan
1786621544.060540,2,camera
1786621544.061578,1,scan
1786621544.064739,1,camera
1786621544.117354,3,camera
1786621544.141918,2,camera
1786621544.143271,2,scan
1786621544.150505,1,camera
1786621544.157075,3,scan
1786621544.159333,1,scan
1786621544.199964,3,camera
1786621544.240929,2,camera
1786621544.243059,2,scan
1786621544.245677,1,camera
1786621544.257381,3,scan
1786621544.259667,1,scan
1786621544.310723,3,camera
1786621544.344658,2,scan
1786621544.347839,2,camera
1786621544.358509,3,scan
1786621544.359453,1,camera
1786621544.360314,1,scan
1786621544.406499,3,camera
1786621544.444173,2,scan
1786621544.446660,2,camera
1786621544.455627,1,camera
1786621544.457147,3,scan
1786621544.459678,1,scan
1786621544.509524,3,camera
1786621544.544817,2,scan
1786621544.549532,2,camera
1786621544.557922,3,scan
1786621544.558604,1,camera
1786621544.559844,1,scan
1786621544.613570,3,camera
1786621544.644283,2,scan
1786621544.650142,2,camera
1786621544.658031,3,scan
1786621544.660015,1,scan
1786621544.661177,1,camera
1786621544.710811,3,camera
1786621544.744734,2,scan
1786621544.750401,2,camera
1786621544.758182,3,scan
1786621544.760202,1,scan
1786621544.764636,1,camera
1786621544.808202,3,camera
1786621544.845249,2,scan
1786621544.850290,2,camera
1786621544.857498,3,scan
1786621544.859628,1,scan
1786621544.860250,1,camera
1786621544.909414,3,camera
1786621544.944427,2,scan
1786621544.949296,2,camera
1786621544.957804,3,scan
1786621544.960132,1,scan
1786621544.963510,1,camera
1786621545.008462,3,camera
1786621545.045428,2,scan
1786621545.055970,2,camera
1786621545.058831,3,scan
1786621545.062285,1,scan
1786621545.073031,1,camera
1786621545.105263,3,camera
1786621545.140211,2,camera
1786621545.143325,2,scan
1786621545.149359,1,camera
1786621545.156981,3,scan
1786621545.159407,1,scan
1786621545.199653,3,camera
1786621545.237639,2,camera
1786621545.243145,2,scan
1786621545.243441,1,camera
1786621545.257255,3,scan
1786621545.260046,1,scan
1786621545.307924,3,camera
1786621545.344229,2,scan
1786621545.348875,2,camera
1786621545.357161,3,scan
1786621545.357443,1,camera
1786621545.359420,1,scan
1786621545.408936,3,camera
1786621545.444532,2,scan
1786621545.448910,2,camera
1786621545.458077,3,scan
1786621545.459835,1,camera
1786621545.460294,1,scan
1786621545.507349,3,camera
1786621545.544234,2,scan
1786621545.550128,2,camera
1786621545.557989,3,scan
1786621545.559892,1,camera
1786621545.560289,1,scan
1786621545.609250,3,camera
1786621545.644379,2,scan
1786621545.649900,2,camera
1786621545.658251,3,scan
1786621545.659771,1,camera
1786621545.660115,1,scan
1786621545.710990,3,camera
1786621545.744212,2,scan
1786621545.747332,2,camera
1786621545.757889,3,scan
1786621545.760127,1,scan
1786621545.764663,1,camera
1786621545.810791,3,camera
1786621545.844221,2,scan
1786621545.847412,2,camera
1786621545.857780,3,scan
1786621545.858386,1,camera
1786621545.859616,1,scan
1786621545.907276,3,camera
1786621545.944239,2,scan
1786621545.950243,2,camera
1786621545.957834,3,scan
1786621545.960128,1,scan
1786621545.961005,1,camera
1786621546.008188,3,camera
1786621546.046033,2,scan
1786621546.055032,2,camera
1786621546.058434,3,scan
1786621546.061999,1,scan
1786621546.068844,1,camera
1786621546.111358,3,camera
1786621546.143642,2,scan
1786621546.149706,2,camera
1786621546.152981,1,camera
1786621546.156942,3,scan
1786621546.159276,1,scan
1786621546.193962,3,camera
1786621546.241080,2,camera
1786621546.243129,2,scan
1786621546.245356,1,camera
