t_epoch,robot,topic
1786621546.454179,2,camera
1786621546.457175,3,scan
1786621546.459528,1,scan
1786621546.462450,1,camera
1786621546.508339,3,camera
1786621546.543357,2,scan
1786621546.553930,2,camera
1786621546.557716,3,scan
1786621546.559576,1,scan
1786621546.560435,1,camera
1786621546.608141,3,camera
1786621546.643376,2,scan
1786621546.647230,2,camera
1786621546.657434,3,scan
1786621546.659739,1,scan
1786621546.661180,1,camera
1786621546.706378,3,camera
1786621546.743397,2,scan
1786621546.749475,2,camera
1786621546.757241,3,scan
1786621546.759675,1,scan
1786621546.761233,1,camera
1786621546.811996,3,camera
1786621546.843479,2,scan
1786621546.857188,3,scan
1786621546.859565,1,scan
1786621546.860319,2,camera
1786621546.860897,1,camera
1786621546.905670,3,camera
1786621546.943720,2,scan
1786621546.957159,3,scan
1786621546.958669,1,camera
1786621546.958805,2,camera
1786621546.959426,1,scan
1786621547.004729,3,camera
1786621547.044464,2,scan
1786621547.057633,3,scan
1786621547.062527,1,scan
1786621547.069782,1,camera
1786621547.072568,2,camera
1786621547.109743,3,camera
1786621547.143299,2,scan
1786621547.145230,2,camera
1786621547.153846,1,camera
1786621547.156742,3,scan
1786621547.159228,1,scan
1786621547.194554,3,camera
1786621547.240377,2,camera
1786621547.242771,2,scan
1786621547.246788,1,camera
1786621547.256945,3,scan
1786621547.259806,1,scan
1786621547.308759,3,camera
1786621547.343514,2,scan
1786621547.354600,2,camera
1786621547.357481,3,scan
1786621547.359394,1,scan
1786621547.359945,1,camera
1786621547.406615,3,camera
1786621547.443544,2,scan
1786621547.446991,2,camera
1786621547.457132,3,scan
1786621547.459537,1,scan
1786621547.460184,1,camera
1786621547.515195,3,camera
1786621547.543372,2,scan
1786621547.547905,2,camera
1786621547.557617,3,scan
1786621547.560119,1,scan
1786621547.563825,1,camera
1786621547.607748,3,camera
1786621547.643402,2,scan
1786621547.646283,2,camera
1786621547.657475,3,scan
1786621547.659750,1,scan
1786621547.662972,1,camera
1786621547.707090,3,camera
1786621547.743877,2,scan
1786621547.750183,2,camera
1786621547.757164,3,scan
1786621547.757852,1,camera
1786621547.759575,1,scan
1786621547.818185,3,camera
1786621547.843311,2,scan
1786621547.849136,2,camera
1786621547.857140,3,scan
1786621547.859526,1,scan
1786621547.860012,1,camera
1786621547.918671,3,camera
1786621547.943405,2,scan
1786621547.949272,2,camera
