t_epoch,robot,topic
1786641841.294720,1,scan
1786641841.294787,2,scan
1786641841.304533,2,camera
1786641841.319364,3,scan
1786641841.330351,3,camera
1786641841.394706,1,scan
1786641841.394772,2,scan
1786641841.407950,2,camera
1786641841.419338,3,scan
1786641841.434973,3,camera
1786641841.487888,1,camera
1786641841.494520,1,scan
1786641841.494734,2,scan
1786641841.495459,1,camera
1786641841.502946,2,camera
1786641841.519365,3,scan
1786641841.530430,3,camera
1786641841.589706,1,camera
1786641841.594725,1,scan
1786641841.594812,2,scan
1786641841.609182,2,camera
1786641841.619343,3,scan
1786641841.630043,3,camera
1786641841.693405,1,camera
1786641841.694709,1,scan
1786641841.694772,2,scan
1786641841.706449,2,camera
1786641841.719363,3,scan
1786641841.730446,3,camera
1786641841.790000,1,camera
1786641841.794706,1,scan
1786641841.796119,2,scan
1786641841.810711,2,camera
1786641841.819348,3,scan
1786641841.830854,3,camera
1786641841.889578,1,camera
1786641841.894652,1,scan
1786641841.894965,2,scan
1786641841.913668,2,camera
1786641841.919321,3,scan
1786641841.926714,3,camera
1786641841.990713,1,camera
1786641841.994724,1,scan
1786641841.994928,2,scan
1786641842.014358,2,camera
1786641842.019847,3,scan
1786641842.050291,3,camera
1786641842.094938,2,scan
1786641842.096169,1,scan
1786641842.100909,1,camera
1786641842.109577,2,camera
1786641842.119438,3,scan
1786641842.132607,3,camera
1786641842.182586,1,camera
1786641842.194532,1,scan
1786641842.194768,2,scan
1786641842.207055,2,camera
1786641842.219400,3,scan
1786641842.230345,3,camera
1786641842.288758,1,camera
1786641842.294804,2,scan
1786641842.294836,1,scan
1786641842.308139,2,camera
1786641842.319347,3,scan
1786641842.330400,3,camera
1786641842.394809,1,scan
1786641842.394815,2,scan
1786641842.398136,1,camera
1786641842.409458,2,camera
1786641842.419379,3,scan
1786641842.431083,3,camera
1786641842.489637,1,camera
1786641842.494807,2,scan
1786641842.494898,1,scan
1786641842.508602,2,camera
1786641842.519336,3,scan
1786641842.530523,3,camera
1786641842.594916,1,scan
1786641842.594953,2,scan
1786641842.595283,1,camera
1786641842.608514,2,camera
1786641842.619368,3,scan
1786641842.630358,3,camera
1786641842.689570,1,camera
1786641842.694798,2,scan
1786641842.694924,1,scan
1786641842.707987,2,camera
1786641842.719382,3,scan
1786641842.730509,3,camera
1786641842.789152,1,camera
1786641842.794794,2,scan
1786641842.794801,1,scan
1786641842.808522,2,camera
1786641842.819782,3,scan
1786641842.830168,3,camera
1786641842.889241,1,camera
1786641842.894713,1,scan
1786641842.895155,2,scan
1786641842.908420,2,camera
1786641842.919790,3,scan
1786641842.929379,3,camera
1786641842.989452,1,camera
1786641842.994739,1,scan
1786641842.994817,2,scan
1786641843.008944,2,camera
1786641843.019372,3,scan
1786641843.094849,1,scan
1786641843.095958,2,scan
1786641843.103713,1,camera
1786641843.111273,2,camera
1786641843.119324,3,scan
1786641843.133735,3,camera
1786641843.141153,3,camera
1786641843.183617,1,camera
1786641843.194689,1,scan
1786641843.195360,2,scan
1786641843.206633,2,camera
1786641843.219277,3,scan
1786641843.227058,3,camera
1786641843.289992,1,camera
1786641843.294897,1,scan
1786641843.295514,2,scan
1786641843.308492,2,camera
1786641843.319386,3,scan
1786641843.336445,3,camera
1786641843.389672,1,camera
1786641843.394846,1,scan
1786641843.395017,2,scan
1786641843.408648,2,camera
1786641843.419357,3,scan
1786641843.430335,3,camera
1786641843.489619,1,camera
1786641843.494819,2,scan
1786641843.494850,1,scan
1786641843.508447,2,camera
1786641843.519372,3,scan
1786641843.532403,3,camera
1786641843.589630,1,camera
1786641843.594586,1,scan
1786641843.595164,2,scan
1786641843.609391,2,camera
1786641843.619352,3,scan
1786641843.636078,3,camera
1786641843.694878,1,scan
1786641843.695127,2,scan
1786641843.716215,2,camera
1786641843.719337,3,scan
1786641843.730175,3,camera
1786641843.788689,1,camera
1786641843.794713,1,scan
1786641843.795647,2,scan
1786641843.797750,1,camera
1786641843.806294,2,camera
1786641843.819389,3,scan
1786641843.830414,3,camera
1786641843.889787,1,camera
1786641843.894806,2,scan
1786641843.894880,1,scan
1786641843.909160,2,camera
1786641843.919920,3,scan
1786641843.930228,3,camera
1786641843.993924,1,camera
1786641843.995008,1,scan
1786641843.995161,2,scan
1786641844.010447,2,camera
1786641844.020063,3,scan
1786641844.095043,2,scan
1786641844.095047,1,scan
1786641844.100530,1,camera
1786641844.113888,2,camera
1786641844.119561,3,scan
1786641844.181261,1,camera
1786641844.194236,1,scan
1786641844.194509,2,scan
1786641844.199324,2,camera
1786641844.218945,3,scan
1786641844.279958,1,camera
1786641844.294233,1,scan
1786641844.294441,2,scan
1786641844.299016,2,camera
1786641844.319016,3,scan
1786641844.388757,1,camera
1786641844.394748,1,scan
1786641844.394861,2,scan
1786641844.410609,2,camera
1786641844.419345,3,scan
1786641844.490362,1,camera
1786641844.494339,1,scan
1786641844.494543,2,scan
1786641844.511857,2,camera
1786641844.519463,3,scan
1786641844.589673,1,camera
1786641844.594412,1,scan
1786641844.594534,2,scan
1786641844.610425,2,camera
1786641844.619333,3,scan
1786641844.689839,1,camera
1786641844.694439,1,scan
1786641844.694645,2,scan
1786641844.704454,2,camera
1786641844.719341,3,scan
1786641844.789341,1,camera
1786641844.794665,1,scan
1786641844.794813,2,scan
1786641844.809183,2,camera
1786641844.819596,3,scan
1786641844.833530,3,camera
1786641844.844502,3,camera
1786641844.847106,3,camera
1786641844.849290,3,camera
1786641844.851469,3,camera
1786641844.853654,3,camera
1786641844.855868,3,camera
1786641844.858030,3,camera
1786641844.860174,3,camera
1786641844.885885,1,camera
1786641844.894658,1,scan
1786641844.894899,2,scan
1786641844.917179,2,camera
1786641844.919368,3,scan
1786641844.931509,3,camera
1786641844.989265,1,camera
1786641844.994815,1,scan
1786641844.994871,2,scan
1786641845.008651,2,camera
1786641845.019965,3,scan
1786641845.044769,3,camera
1786641845.094821,1,scan
1786641845.095003,2,scan
1786641845.113961,2,camera
1786641845.119421,3,scan
1786641845.134666,3,camera
1786641845.184734,1,camera
1786641845.191606,1,camera
1786641845.194310,1,scan
1786641845.194394,2,scan
1786641845.199753,2,camera
1786641845.219815,3,scan
1786641845.230272,3,camera
1786641845.293655,1,camera
1786641845.294774,2,scan
1786641845.294788,1,scan
1786641845.308611,2,camera
1786641845.319341,3,scan
1786641845.332111,3,camera
1786641845.391471,1,camera
1786641845.394746,2,scan
1786641845.394822,1,scan
1786641845.409279,2,camera
1786641845.419332,3,scan
1786641845.427690,3,camera
1786641845.488864,1,camera
1786641845.494788,2,scan
1786641845.495105,1,scan
1786641845.515463,2,camera
1786641845.519840,3,scan
1786641845.532557,3,camera
1786641845.589360,1,camera
1786641845.594749,1,scan
1786641845.594757,2,scan
1786641845.608381,2,camera
1786641845.619368,3,scan
1786641845.630280,3,camera
1786641845.689478,1,camera
1786641845.694779,1,scan
1786641845.694819,2,scan
1786641845.708417,2,camera
1786641845.719373,3,scan
1786641845.730223,3,camera
1786641845.790069,1,camera
1786641845.794612,1,scan
1786641845.794786,2,scan
1786641845.808236,2,camera
1786641845.819391,3,scan
1786641845.830677,3,camera
1786641845.892282,1,camera
1786641845.894158,1,scan
1786641845.894496,2,scan
1786641845.908598,2,camera
1786641845.919365,3,scan
1786641845.930130,3,camera
1786641845.991629,1,camera
1786641845.994592,1,scan
1786641845.994756,2,scan
1786641846.008500,2,camera
1786641846.019759,3,scan
1786641846.041373,3,camera
1786641846.095569,2,scan
1786641846.095763,1,scan
1786641846.107801,2,camera
1786641846.119813,3,scan
1786641846.144008,3,camera
1786641846.189837,1,camera
1786641846.193724,1,camera
1786641846.194426,1,scan
1786641846.194537,2,scan
1786641846.200652,2,camera
1786641846.219345,3,scan
1786641846.228645,3,camera
1786641846.292932,1,camera
1786641846.294459,1,scan
1786641846.294465,2,scan
1786641846.301760,2,camera
1786641846.319343,3,scan
1786641846.327129,3,camera
1786641846.388749,1,camera
1786641846.394539,1,scan
1786641846.394720,2,scan
1786641846.406078,2,camera
1786641846.419206,3,scan
1786641846.431683,3,camera
1786641846.489025,1,camera
1786641846.494784,1,scan
1786641846.495062,2,scan
1786641846.508569,2,camera
1786641846.519237,3,scan
1786641846.525718,3,camera
1786641846.589644,1,camera
1786641846.594431,1,scan
1786641846.594517,2,scan
1786641846.599951,2,camera
1786641846.619063,3,scan
1786641846.622148,3,camera
1786641846.683186,1,camera
1786641846.694255,1,scan
1786641846.694393,2,scan
1786641846.699464,2,camera
1786641846.719226,3,scan
1786641846.728283,3,camera
1786641846.789679,1,camera
1786641846.794831,2,scan
1786641846.795128,1,scan
1786641846.808915,2,camera
1786641846.819825,3,scan
1786641846.830071,3,camera
1786641846.887683,1,camera
1786641846.894204,1,scan
1786641846.894367,2,scan
1786641846.899168,2,camera
1786641846.919218,3,scan
1786641846.926083,3,camera
1786641846.989343,1,camera
1786641846.994764,2,scan
1786641846.995013,1,scan
1786641847.007995,2,camera
1786641847.019653,3,scan
1786641847.037244,3,camera
1786641847.087529,1,camera
1786641847.094486,1,scan
1786641847.094775,2,scan
1786641847.106636,2,camera
1786641847.119148,3,scan
1786641847.182809,1,camera
1786641847.194610,2,scan
1786641847.194726,1,scan
1786641847.203012,2,camera
1786641847.219012,3,scan
1786641847.234291,3,camera
1786641847.239300,3,camera
1786641847.284745,1,camera
1786641847.294759,1,scan
1786641847.294802,2,scan
1786641847.308830,2,camera
1786641847.320241,3,scan
1786641847.334024,3,camera
1786641847.389937,1,camera
1786641847.394929,1,scan
1786641847.395158,2,scan
1786641847.409296,2,camera
1786641847.419642,3,scan
1786641847.433167,3,camera
1786641847.494767,1,scan
1786641847.495613,2,scan
1786641847.501459,2,camera
1786641847.519162,3,scan
1786641847.522245,3,camera
1786641847.588868,1,camera
1786641847.594542,1,scan
1786641847.594808,2,scan
1786641847.598409,1,camera
1786641847.602543,2,camera
1786641847.619097,3,scan
1786641847.621184,3,camera
1786641847.681788,1,camera
1786641847.694279,1,scan
1786641847.694635,2,scan
1786641847.701208,2,camera
1786641847.719243,3,scan
1786641847.723132,3,camera
1786641847.794636,1,scan
1786641847.795249,2,scan
1786641847.805900,2,camera
1786641847.819352,3,scan
1786641847.830080,3,camera
1786641847.892794,1,camera
1786641847.894650,1,scan
1786641847.894682,2,scan
1786641847.912496,2,camera
1786641847.919044,3,scan
1786641847.921026,3,camera
1786641847.994763,1,scan
1786641847.994779,2,scan
1786641847.998022,1,camera
1786641848.003926,1,camera
1786641848.005543,2,camera
1786641848.019802,3,scan
1786641848.094832,1,scan
1786641848.094992,2,scan
1786641848.099503,1,camera
1786641848.104092,2,camera
1786641848.119264,3,scan
1786641848.130078,3,camera
1786641848.133851,3,camera
1786641848.181113,1,camera
1786641848.194319,1,scan
1786641848.194510,2,scan
1786641848.199580,2,camera
1786641848.219027,3,scan
1786641848.221011,3,camera
1786641848.283199,1,camera
1786641848.294787,1,scan
1786641848.295625,2,scan
1786641848.304431,2,camera
1786641848.319331,3,scan
1786641848.334408,3,camera
1786641848.381626,1,camera
1786641848.394383,1,scan
1786641848.394520,2,scan
1786641848.403086,2,camera
1786641848.419374,3,scan
1786641848.431499,3,camera
1786641848.484742,1,camera
1786641848.494842,2,scan
1786641848.494845,1,scan
1786641848.508002,2,camera
1786641848.519498,3,scan
1786641848.526666,3,camera
1786641848.585591,1,camera
1786641848.594678,1,scan
1786641848.595507,2,scan
1786641848.616265,2,camera
1786641848.619496,3,scan
1786641848.632901,3,camera
1786641848.685604,1,camera
1786641848.694426,1,scan
1786641848.694564,2,scan
1786641848.710359,2,camera
1786641848.719364,3,scan
1786641848.724167,3,camera
1786641848.789716,1,camera
1786641848.794824,2,scan
1786641848.794848,1,scan
1786641848.812960,2,camera
1786641848.819346,3,scan
