t_epoch,robot,topic
1786642147.147836,2,camera
1786642147.161305,1,camera
1786642147.168468,1,scan
1786642147.168479,3,camera
1786642147.177355,3,scan
1786642147.220579,2,scan
1786642147.251211,2,camera
1786642147.268551,1,scan
1786642147.272807,1,camera
1786642147.275412,3,camera
1786642147.277323,3,scan
1786642147.320898,2,scan
1786642147.354682,2,camera
1786642147.368569,1,scan
1786642147.370856,1,camera
1786642147.373787,3,camera
1786642147.377466,3,scan
1786642147.421247,2,scan
1786642147.455032,2,camera
1786642147.468918,1,scan
1786642147.473823,3,camera
1786642147.477434,3,scan
1786642147.478491,1,camera
1786642147.520836,2,scan
1786642147.555169,2,camera
1786642147.568925,1,scan
1786642147.571031,1,camera
1786642147.573655,3,camera
1786642147.578096,3,scan
1786642147.620826,2,scan
1786642147.655425,2,camera
1786642147.668925,1,scan
1786642147.673578,3,camera
1786642147.678043,3,scan
1786642147.679690,1,camera
1786642147.720823,2,scan
1786642147.755276,2,camera
1786642147.768615,1,scan
1786642147.774034,3,camera
1786642147.778008,3,scan
1786642147.779975,1,camera
1786642147.820919,2,scan
1786642147.855201,2,camera
1786642147.868442,1,scan
1786642147.873790,3,camera
1786642147.878114,3,scan
1786642147.880423,1,camera
1786642147.920828,2,scan
1786642147.955304,2,camera
1786642147.969248,1,scan
1786642147.974574,3,camera
1786642147.975003,1,camera
1786642147.978231,3,scan
1786642148.021633,2,scan
1786642148.069157,1,scan
1786642148.072508,1,camera
1786642148.078615,3,scan
1786642148.080424,2,camera
1786642148.092624,3,camera
1786642148.121076,2,scan
1786642148.159485,2,camera
1786642148.164667,1,camera
1786642148.168289,1,scan
1786642148.175374,3,camera
1786642148.177183,3,scan
1786642148.220618,2,scan
1786642148.250781,2,camera
1786642148.266567,3,camera
1786642148.268054,1,scan
1786642148.271167,1,camera
1786642148.277180,3,scan
1786642148.320395,2,scan
1786642148.356314,2,camera
1786642148.361095,1,camera
1786642148.365426,3,camera
1786642148.368001,1,scan
1786642148.377134,3,scan
1786642148.420375,2,scan
1786642148.456122,2,camera
1786642148.461422,1,camera
1786642148.466499,3,camera
1786642148.468123,1,scan
1786642148.478142,3,scan
1786642148.520815,2,scan
1786642148.557789,2,camera
1786642148.568390,1,scan
1786642148.569713,1,camera
1786642148.578045,3,scan
1786642148.582608,3,camera
1786642148.620851,2,scan
1786642148.658313,2,camera
1786642148.668401,1,scan
1786642148.673649,1,camera
1786642148.673899,3,camera
1786642148.677597,3,scan
1786642148.720858,2,scan
1786642148.754946,2,camera
1786642148.768421,1,scan
1786642148.772013,1,camera
1786642148.777677,3,scan
1786642148.778357,3,camera
1786642148.821286,2,scan
1786642148.855304,2,camera
1786642148.868001,1,camera
1786642148.868303,1,scan
1786642148.877573,3,scan
1786642148.878264,3,camera
1786642148.920824,2,scan
1786642148.955765,2,camera
1786642148.968469,1,scan
1786642148.969714,1,camera
1786642148.973905,3,camera
1786642148.977301,3,scan
1786642149.021613,2,scan
1786642149.065497,2,camera
1786642149.068681,1,scan
1786642149.077660,3,scan
1786642149.088289,1,camera
1786642149.091847,3,camera
1786642149.121170,2,scan
1786642149.147744,2,camera
1786642149.168156,1,scan
1786642149.173230,3,camera
1786642149.177225,3,scan
1786642149.178837,1,camera
1786642149.220628,2,scan
1786642149.252634,2,camera
1786642149.269262,1,scan
1786642149.270529,1,camera
1786642149.277570,3,scan
1786642149.278493,3,camera
1786642149.320861,2,scan
1786642149.355044,2,camera
1786642149.368429,1,scan
1786642149.373337,1,camera
1786642149.375894,3,camera
1786642149.377556,3,scan
1786642149.420829,2,scan
1786642149.455673,2,camera
1786642149.468677,1,scan
1786642149.469754,1,camera
1786642149.478075,3,scan
1786642149.481109,3,camera
1786642149.520900,2,scan
1786642149.557025,2,camera
1786642149.567639,1,camera
1786642149.568281,1,scan
1786642149.570818,3,camera
1786642149.577578,3,scan
1786642149.620845,2,scan
1786642149.652572,2,camera
1786642149.668450,1,scan
1786642149.668885,1,camera
1786642149.677324,3,scan
1786642149.679450,3,camera
1786642149.720845,2,scan
1786642149.755746,2,camera
1786642149.768343,1,scan
1786642149.776980,1,camera
1786642149.777520,3,scan
1786642149.778161,3,camera
1786642149.820777,2,scan
1786642149.858484,2,camera
1786642149.868682,1,scan
1786642149.869719,1,camera
1786642149.872042,3,camera
1786642149.877358,3,scan
1786642149.921026,2,scan
1786642149.954934,2,camera
1786642149.963707,1,camera
1786642149.968032,1,scan
1786642149.975399,3,camera
1786642149.977239,3,scan
1786642150.021843,2,scan
1786642150.068843,1,scan
1786642150.069893,2,camera
1786642150.078347,3,scan
1786642150.083248,3,camera
1786642150.084155,1,camera
1786642150.120677,2,scan
1786642150.151387,2,camera
1786642150.161507,1,camera
1786642150.168079,1,scan
1786642150.175467,3,camera
1786642150.177165,3,scan
1786642150.220669,2,scan
1786642150.259124,2,camera
1786642150.268017,3,camera
1786642150.268329,1,scan
1786642150.276213,1,camera
1786642150.277747,3,scan
1786642150.320572,2,scan
1786642150.353886,2,camera
1786642150.368281,1,scan
1786642150.378026,3,scan
1786642150.378429,3,camera
1786642150.379451,1,camera
1786642150.420871,2,scan
1786642150.454559,2,camera
1786642150.468559,1,scan
1786642150.470578,1,camera
1786642150.475686,3,camera
1786642150.477566,3,scan
1786642150.520592,2,scan
1786642150.547207,2,camera
1786642150.566021,1,camera
1786642150.568533,1,scan
1786642150.577675,3,scan
1786642150.582059,3,camera
1786642150.621336,2,scan
1786642150.647485,2,camera
1786642150.665428,1,camera
1786642150.668308,1,scan
1786642150.677288,3,scan
1786642150.677300,3,camera
1786642150.720779,2,scan
1786642150.766623,2,camera
1786642150.768329,1,scan
1786642150.777766,3,scan
1786642150.779183,1,camera
1786642150.782493,3,camera
1786642150.820888,2,scan
1786642150.855138,2,camera
1786642150.864829,1,camera
1786642150.866893,3,camera
1786642150.868017,1,scan
